id,budget
53,6000000
117,33
142,12000000
151,3
171,7600000
190,8000000
194,700000
233,10000000
244,20000000
281,5
288,25000000
304,12000000
380,6500000
387,1000
397,2500000
398,5000000
405,8000000
444,7000000
452,6000000
455,9000000
464,20000000
480,25000000
485,12000000
494,10000000
505,2000000
540,1500000
581,13000000
582,16000000
591,3000000
620,6000000
635,1200000
637,6500000
658,8000000
664,1000000
665,15
670,30000000
683,20000000
697,40000000
719,24000000
723,17000000
741,10000000
819,90000000
824,1250000
839,28000000
854,18000000
873,8000000
879,18000000
886,12000000
891,14500000
899,35000000
988,15700000
1012,6900000
1047,1500000
1059,3000000
1072,10000000
1079,1000000
1083,3000000
1090,10000000
1112,7500000
1131,4300000
1171,12000000
1186,10500000
1191,2
1311,3000
1324,19200000
1331,12000000
1361,1000000
1364,14000000
1372,4000000
1403,10000000
1450,15000000
1485,19000000
1489,2500000
1508,5000000
1521,7000000
1544,25000000
1555,2500000
1570,14000000
1571,4000000
1586,33000000
1596,50000
1628,19000000
1639,10000000
1701,30000000
1714,46000000
1721,17500000
1739,50000000
1771,10000000
1788,8000000
1806,35000000
1826,2000000
1843,14500000
1865,80000000
1905,10000000
1906,15000000
1919,5000000
1924,6000000
1933,25000000
1945,5000000
1982,15000000
2041,4000000
2064,10000000
2078,18000000
2084,4250000
2120,10000000
2137,12000000
2141,14000000
2264,500
2367,25000000
2386,27000000
2387,2200000
2408,8000000
2415,12500000
2428,9000000
2429,26000000
2497,40000000
2504,17000000
2537,9000000
2540,8500000
2551,30000000
2569,8000000
2584,20000000
2602,23000000
2606,6000000
2641,12000000
2642,10000000
2666,13000000
2672,27000000
2685,5500000
2700,4000000
2737,12000
2752,10000000
2758,270000
2766,5000000
2772,9000000
2776,10000000
2786,10000000
2804,13000000
2811,12000
2818,20000000
2834,32000000
2890,9000000
2908,25000000
2918,20000000
2957,8000000
2995,18000000
